No.,Package Name,Total Package Cost,Total Qualifying Cost,Solution Details
Option 1,ITAPS - iTaps HRMS Version 1.0 - Package 1 (20 employees)					,"$6,400.00","$6,400.00",https://www.gobusiness.gov.sg/images/psg/Mind_Master_20200586_Desensitised_Annex_3_Part_1.pdf
Option 2,ITAPS -iTaps HRMS Version 1.0 - Package 2 (45 employees),"$10,200.00","$10,200.00",https://www.gobusiness.gov.sg/images/psg/Mind_Master_20200586_Desensitised_Annex_3_Part_2.pdf
Option 3,ITAPS -iTaps HRMS Version 1.0 - Package 3 (75 employees)					,"$13,700.00","$13,700.00",https://www.gobusiness.gov.sg/images/psg/Mind_Master_20200586_Desensitised_Annex_3_Part_3.pdf
Option 4,ITAPS -iTaps HRMS Version 1.0 - Package 4 (120 employees)					,"$19,360.00","$19,360.00",https://www.gobusiness.gov.sg/images/psg/Mind_Master_20200586_Desensitised_Annex_3_Part_4.pdf
Option 5,ITAPS -iTaps HRMS Version 1.0 - Package 5 (200 employees)					,"$26,400.00","$26,400.00",https://www.gobusiness.gov.sg/images/psg/Mind_Master_20200586_Desensitised_Annex_3_Part_5.pdf
Option 1,HReasily Online Payroll Version 5 - Package A - 5 Employees,$900.00,$900.00,https://www.gobusiness.gov.sg/images/psg/361_Degree_HReasily_20210092_Desensitised_Annex_3_Part_1.pdf
Option 2,HReasily Online Payroll Version 5 - Package B - 10 Employees,"$1,200.00","$1,200.00",https://www.gobusiness.gov.sg/images/psg/361_Degree_HReasily_20210092_Desensitised_Annex_3_Part_2.pdf
Option 3,HReasily Online Payroll Version 5 - Package C - 20 Employees,"$2,200.00","$2,200.00",https://www.gobusiness.gov.sg/images/psg/361_Degree_HReasily_20210092_Desensitised_Annex_3_Part_3.pdf
Option 4,HReasily Online Payroll Version 5 - Package D - 30 Employees,"$2,800.00","$2,800.00",https://www.gobusiness.gov.sg/images/psg/361_Degree_HReasily_20210092_Desensitised_Annex_3_Part_4.pdf
Option 5,HReasily Online Payroll Version 5 - Package E - 50 Employees,"$4,600.00","$4,600.00",https://www.gobusiness.gov.sg/images/psg/361_Degree_HReasily_20210092_Desensitised_Annex_3_Part_5.pdf
Option 1,BIPO Human Resource Management System - BIPO LITE 50,"$11,500.00","$11,500.00",https://www.gobusiness.gov.sg/images/psg/BIPO_Service_20200561_Desensitised_Annex_3_Part_1.pdf
Option 2,BIPO Human Resource Management System - BIPO LITE 100,"$15,500.00","$15,500.00",https://www.gobusiness.gov.sg/images/psg/BIPO_Service_20200561_Desensitised_Annex_3_Part_2.pdf
Option 3,BIPO Human Resource Management System - BIPO LITE 150,"$21,500.00","$20,700.00",https://www.gobusiness.gov.sg/images/psg/BIPO_Service_20200561_Desensitised_Annex_3_Part_3.pdf
Option 1,ROCKBELL HUMAN RESOURCE MANAGEMENT SYSTEM Version 3 - Package (1 concurrent user - 30 Employees),"$3,599.00","$3,599.00",https://www.gobusiness.gov.sg/images/psg/Rockbell_HRMS_20210246_Desensitised_Annex_3_Part_1.pdf
Option 2,ROCKBELL HUMAN RESOURCE MANAGEMENT SYSTEM Version 3 - Package (1 concurrent user - 60 Employees),"$5,399.00","$5,399.00",https://www.gobusiness.gov.sg/images/psg/Rockbell_HRMS_20210246_Desensitised_Annex_3_Part_2.pdf
Option 3,ROCKBELL HUMAN RESOURCE MANAGEMENT SYSTEM Version 3 - Package (1 concurrent user - Unlimited Employees),"$7,199.00","$7,199.00",https://www.gobusiness.gov.sg/images/psg/Rockbell_HRMS_20210246_Desensitised_Annex_3_Part_3.pdf
Option 4,ROCKBELL HUMAN RESOURCE MANAGEMENT SYSTEM Version 3 - Package (3 concurrent users - Unlimited Employees),"$7,999.00","$7,999.00",https://www.gobusiness.gov.sg/images/psg/Rockbell_HRMS_20210246_Desensitised_Annex_3_Part_4.pdf
Option 5,ROCKBELL HUMAN RESOURCE MANAGEMENT SYSTEM Version 3 - Package (5 concurrent users - Unlimited Employees),"$8,999.00","$8,999.00",https://www.gobusiness.gov.sg/images/psg/Rockbell_HRMS_20210246_Desensitised_Annex_3_Part_5.pdf
Option 1,WhyzeHR Version 12 - STANDARD 25,"$4,600.00","$4,600.00",https://www.gobusiness.gov.sg/images/psg/WhyzeHR_20210277_Desensitised_Annex_3_Part_1.pdf
Option 2,WhyzeHR Version 12 - STANDARD 50,"$5,850.00","$5,850.00",https://www.gobusiness.gov.sg/images/psg/WhyzeHR_20210277_Desensitised_Annex_3_Part_2.pdf
Option 3,WhyzeHR Version 12 - STANDARD 100,"$9,200.00","$9,200.00",https://www.gobusiness.gov.sg/images/psg/WhyzeHR_20210277_Desensitised_Annex_3_Part_3.pdf
Option 4,WhyzeHR Version 12 - STANDARD 200,"$13,800.00","$13,800.00",https://www.gobusiness.gov.sg/images/psg/WhyzeHR_20210277_Desensitised_Annex_3_Part_4.pdf
Option 5,WhyzeHR Version 12 - STANDARD PLUS 150,"$16,900.00","$16,900.00",https://www.gobusiness.gov.sg/images/psg/WhyzeHR_20210277_Desensitised_Annex_3_Part_5.pdf
Option 1,OpensoftHR Version 18 - Enterprise (25 pax),"$7,400.00","$6,300.00",https://www.gobusiness.gov.sg/images/psg/OpensoftHR_20210316_Desensitised_Annex_3_Part_1.pdf
Option 2,OpensoftHR Version 18 - Enterprise (50 pax),"$9,900.00","$9,900.00",https://www.gobusiness.gov.sg/images/psg/OpensoftHR_20210316_Desensitised_Annex_3_Part_2.pdf
Option 3,OpensoftHR Version 18 - Enterprise (100 pax),"$13,900.00","$13,900.00",https://www.gobusiness.gov.sg/images/psg/OpensoftHR_20210316_Desensitised_Annex_3_Part_3.pdf
Option 4,OpensoftHR Version 18 - Enterprise (150 pax),"$16,900.00","$16,900.00",https://www.gobusiness.gov.sg/images/psg/OpensoftHR_20210316_Desensitised_Annex_3_Part_4.pdf
Option 5,OpensoftHR Version 18 - Enterprise (200 pax),"$19,900.00","$19,900.00",https://www.gobusiness.gov.sg/images/psg/OpensoftHR_20210316_Desensitised_Annex_3_Part_5.pdf
Option 1,TIMES SOFTWARE HRMS Version 18 - Cloud-based package 1 (up to 25 pax),"$10,400.00","$10,400.00",https://www.gobusiness.gov.sg/images/psg/TIMES_SOFTWARE_20210414_Desensitised_Annex_3_Part_1.pdf
Option 2,TIMES SOFTWARE HRMS Version 18 - Cloud-based package 2 (up to 50 pax),"$15,600.00","$14,400.00",https://www.gobusiness.gov.sg/images/psg/TIMES_SOFTWARE_20210414_Desensitised_Annex_3_Part_2.pdf
Option 3,TIMES SOFTWARE HRMS Version 18 - Cloud-based package 3 (up to 100 pax),"$22,800.00","$21,600.00",https://www.gobusiness.gov.sg/images/psg/TIMES_SOFTWARE_20210414_Desensitised_Annex_3_Part_3.pdf
Option 4,TIMES SOFTWARE HRMS Version 18 - Cloud-based package 4 (up to 150 pax),"$30,000.00","$27,000.00",https://www.gobusiness.gov.sg/images/psg/TIMES_SOFTWARE_20210414_Desensitised_Annex_3_Part_4.pdf
Option 5,TIMES SOFTWARE HRMS Version 18 - Cloud-based package 5 (up to 200 pax),"$38,000.00","$31,152.00",https://www.gobusiness.gov.sg/images/psg/TIMES_SOFTWARE_20210414_Desensitised_Annex_3_Part_5.pdf
Option 1,Payboy HRMS - Package A (20 Employees),"$6,400.00","$6,400.00",https://www.gobusiness.gov.sg/images/psg/Payboy_HRMS_20210492_Desensitised_Annex_3_Part_1.pdf
Option 2,Payboy HRMS - Package B (45 Employees),"$10,200.00","$10,200.00",https://www.gobusiness.gov.sg/images/psg/Payboy_HRMS_20210492_Desensitised_Annex_3_Part_2.pdf
Option 3,Payboy HRMS - Package C (75 Employees),"$14,600.00","$14,600.00",https://www.gobusiness.gov.sg/images/psg/Payboy_HRMS_20210492_Desensitised_Annex_3_Part_3.pdf
Option 4,Payboy HRMS - Package D (120 Employees),"$20,000.00","$20,000.00",https://www.gobusiness.gov.sg/images/psg/Payboy_HRMS_20210492_Desensitised_Annex_3_Part_4.pdf
Option 5,Payboy HRMS - Package E (200 Employees),"$29,600.00","$29,600.00",https://www.gobusiness.gov.sg/images/psg/Payboy_HRMS_20210492_Desensitised_Annex_3_Part_5.pdf
Option 1,Carbonate HR Version 1 - Power 20,"$4,320.00","$4,320.00",https://www.gobusiness.gov.sg/images/psg/Carbonate_HR_20210495_Desensitised_Annex_3_Part_1.pdf
Option 2,Carbonate HR Version 1 - Power 50,"$9,600.00","$9,600.00",https://www.gobusiness.gov.sg/images/psg/Carbonate_HR_20210495_Desensitised_Annex_3_Part_2.pdf
Option 3,Carbonate HR Version 1 - Power 100,"$16,800.00","$16,800.00",https://www.gobusiness.gov.sg/images/psg/Carbonate_HR_20210495_Desensitised_Annex_3_Part_3.pdf
Option 4,Carbonate HR Version 1 - Power 150,"$21,600.00","$21,600.00",https://www.gobusiness.gov.sg/images/psg/Carbonate_HR_20210495_Desensitised_Annex_3_Part_4.pdf
Option 5,Carbonate HR Version 1 - Power 200,"$26,400.00","$26,400.00",https://www.gobusiness.gov.sg/images/psg/Carbonate_HR_20210495_Desensitised_Annex_3_Part_5.pdf
Option 1,Adaptive Pay Version 2022 - Package 1,"$3,000.00","$2,560.00",https://www.gobusiness.gov.sg/images/psg/Adaptive_Cloud_20210527_Desensitised_Annex_3_Part_1.pdf
Option 2,Adaptive Pay Version 2022 - Package 2,"$5,700.00","$5,500.00",https://www.gobusiness.gov.sg/images/psg/Adaptive_Cloud_20210527_Desensitised_Annex_3_Part_2.pdf
Option 3,Adaptive Pay Version 2022 - Package 3,"$8,400.00","$8,100.00",https://www.gobusiness.gov.sg/images/psg/Adaptive_Cloud_20210527_Desensitised_Annex_3_Part_3.pdf
Option 4,Adaptive Pay Version 2022 - Package 4,"$12,300.00","$11,700.00",https://www.gobusiness.gov.sg/images/psg/Adaptive_Cloud_20210527_Desensitised_Annex_3_Part_4.pdf
Option 5,Adaptive Pay Version 2022 - Package 5,"$17,900.00","$17,100.00",https://www.gobusiness.gov.sg/images/psg/Adaptive_Cloud_20210527_Desensitised_Annex_3_Part_5.pdf
Option 1,Frontier e-HR Version 8 - AutomateHR eFrontier - 25 Users,"$6,200.00","$6,200.00",https://www.gobusiness.gov.sg/images/psg/Frontier_e-HR_Pte_Ltd_20220021_Desensitised_Annex_3_Part_1.pdf
Option 2,Frontier e-HR Version 8 - AutomateHR eFrontier - 50 Users,"$10,000.00","$10,000.00",https://www.gobusiness.gov.sg/images/psg/Frontier_e-HR_Pte_Ltd_20220021_Desensitised_Annex_3_Part_2.pdf
Option 3,Frontier e-HR Version 8 - AutomateHR eFrontier - 100 Users,"$17,000.00","$17,000.00",https://www.gobusiness.gov.sg/images/psg/Frontier_e-HR_Pte_Ltd_20220021_Desensitised_Annex_3_Part_3.pdf
Option 4,Frontier e-HR Version 8 - AutomateHR eFrontier - 150 Users,"$22,600.00","$22,600.00",https://www.gobusiness.gov.sg/images/psg/Frontier_e-HR_Pte_Ltd_20220021_Desensitised_Annex_3_Part_4.pdf
Option 5,Frontier e-HR Version 8 - AutomateHR eFrontier - 200 Users,"$29,200.00","$28,800.00",https://www.gobusiness.gov.sg/images/psg/Frontier_e-HR_Pte_Ltd_20220021_Desensitised_Annex_3_Part_5.pdf
Option 1,SYNERGIX Version TH6 - Package A: HRMS Standard,"$39,420.00","$22,200.00",https://www.gobusiness.gov.sg/images/psg/Synergix_SYNERGIX_Version_TH6_Desensitised_Part1.pdf
Option 1,(SaaS) JustLogin HR Cloud - A (Up to 15 pax),"$4,560.00","$4,560.00",https://www.gobusiness.gov.sg/images/psg/JustLogin_Desensitised_Annex_3_wef_7_July_2022_Part_1.pdf
Option 2,(SaaS) JustLogin HR Cloud - B (Up to 50 pax),"$10,800.00","$10,800.00",https://www.gobusiness.gov.sg/images/psg/JustLogin_Desensitised_Annex_3_wef_7_July_2022_Part_2.pdf
Option 3,(SaaS) JustLogin HR Cloud - C (Up to 100 pax),"$19,200.00","$19,200.00",https://www.gobusiness.gov.sg/images/psg/JustLogin_Desensitised_Annex_3_wef_7_July_2022_Part_3.pdf
Option 4,(SaaS) JustLogin HR Cloud - D (Up to 150 pax),"$25,800.00","$25,000.00",https://www.gobusiness.gov.sg/images/psg/JustLogin_Desensitised_Annex_3_wef_7_July_2022_Part_4.pdf
Option 5,(SaaS) JustLogin HR Cloud - E (Up to 200 pax),"$31,200.00","$29,200.00",https://www.gobusiness.gov.sg/images/psg/JustLogin_Desensitised_Annex_3_wef_7_July_2022_Part_5.pdf
Option 1,PayAdvisorMobile HRMS - Tier 1 (up to 25 users),"$5,600.00","$4,950.00",https://www.gobusiness.gov.sg/images/psg/capps_Desensitised_Annex_3_21July2022_Part_1.pdf
Option 2,PayAdvisorMobile HRMS - Tier 2 (up to 50 users),"$7,650.00","$7,350.00",https://www.gobusiness.gov.sg/images/psg/capps_Desensitised_Annex_3_21July2022_Part_2.pdf
Option 3,PayAdvisorMobile HRMS - Tier 3 (up to 100 users),"$11,150.00","$10,850.00",https://www.gobusiness.gov.sg/images/psg/capps_Desensitised_Annex_3_21July2022_Part_3.pdf
Option 4,PayAdvisorMobile HRMS - Tier 4 (up to 150 users),"$16,450.00","$16,150.00",https://www.gobusiness.gov.sg/images/psg/capps_Desensitised_Annex_3_21July2022_Part_4.pdf
Option 5,PayAdvisorMobile HRMS - Tier 5 (up to 200 users),"$20,550.00","$19,950.00",https://www.gobusiness.gov.sg/images/psg/capps_Desensitised_Annex_3_21July2022_Part_5.pdf
Option 1,(A.I.) INFO-TECH Cloud HRMS Version 8.0 - Package (InfoHRMS Lite 25),"$5,700.00","$5,700.00",https://www.gobusiness.gov.sg/images/psg/info_20220188_Desensitised_Annex_3__Part_1.pdf
Option 2,(A.I.) INFO-TECH Cloud HRMS Version 8.0 - Package (InfoHRMS Lite 50),"$9,300.00","$9,300.00",https://www.gobusiness.gov.sg/images/psg/info_20220188_Desensitised_Annex_3__Part_2.pdf
Option 3,(A.I.) INFO-TECH Cloud HRMS Version 8.0 - Package (InfoHRMS Pro 100),"$16,700.00","$16,700.00",https://www.gobusiness.gov.sg/images/psg/info_20220188_Desensitised_Annex_3__Part_3.pdf
Option 4,(A.I.) INFO-TECH Cloud HRMS Version 8.0 - Package (InfoHRMS Pro 150),"$25,300.00","$24,400.00",https://www.gobusiness.gov.sg/images/psg/info_20220188_Desensitised_Annex_3__Part_4.pdf
Option 5,(A.I.) INFO-TECH Cloud HRMS Version 8.0 - Package (InfoHRMS Pro 200),"$32,700.00","$30,400.00",https://www.gobusiness.gov.sg/images/psg/info_20220188_Desensitised_Annex_3__Part_5.pdf
Option 1,Classic HRMS 10,"$1,600.00","$1,600.00",https://www.gobusiness.gov.sg/images/psg/Yuvo_Desensitised_Annex_3__Part_1.pdf
Option 2,Classic HRMS 25,"$3,750.00","$3,750.00",https://www.gobusiness.gov.sg/images/psg/Yuvo_Desensitised_Annex_3__Part_2.pdf
Option 3,Classic HRMS 50,"$6,400.00","$6,400.00",https://www.gobusiness.gov.sg/images/psg/Yuvo_Desensitised_Annex_3__Part_3.pdf
Option 4,Classic HRMS 100,"$11,100.00","$11,100.00",https://www.gobusiness.gov.sg/images/psg/Yuvo_Desensitised_Annex_3__Part_4.pdf
Option 5,Classic HRMS 200,"$20,700.00","$20,700.00",https://www.gobusiness.gov.sg/images/psg/Yuvo_Desensitised_Annex_3__Part_5.pdf
Option 1,ASURIX HRMS - Package (10 users) ,"$5,700.00","$5,700.00",https://www.gobusiness.gov.sg/images/psg/Net_Solutions_Desensitised_Annex_3_Part_1.pdf
Option 2,ASURIX HRMS - Package (25 users) ,"$8,750.00","$8,200.00",https://www.gobusiness.gov.sg/images/psg/Net_Solutions_Desensitised_Annex_3_Part_2.pdf
Option 3,ASURIX HRMS - Package (50 users),"$12,350.00","$11,200.00",https://www.gobusiness.gov.sg/images/psg/Net_Solutions_Desensitised_Annex_3_Part_3.pdf
Option 4,ASURIX HRMS - Package (100 users),"$19,600.00","$17,200.00",https://www.gobusiness.gov.sg/images/psg/Net_Solutions_Desensitised_Annex_3_Part_4.pdf
Option 5,ASURIX HRMS - Package (150 users),"$26,850.00","$23,200.00",https://www.gobusiness.gov.sg/images/psg/Net_Solutions_Desensitised_Annex_3_Part_5.pdf
Option 1,START HRMS (10 Headcounts),"$2,700.00","$2,500.00",https://www.gobusiness.gov.sg/images/psg/Enable_Desensitised_Annex_3_Part_1.pdf
Option 2,SPROUT HRMS (50 Headcounts),"$8,000.00","$7,800.00",https://www.gobusiness.gov.sg/images/psg/Enable_Desensitised_Annex_3_Part_2.pdf
Option 3,SPRING HRMS (100 Headcounts),"$14,000.00","$13,800.00",https://www.gobusiness.gov.sg/images/psg/Enable_Desensitised_Annex_3_Part_3.pdf
Option 4,SCALE HRMS (150 Headcounts),"$20,000.00","$19,800.00",https://www.gobusiness.gov.sg/images/psg/Enable_Desensitised_Annex_3_Part_4.pdf
Option 5,SOAR HRMS (200 Headcounts),"$25,000.00","$24,800.00",https://www.gobusiness.gov.sg/images/psg/Enable_Desensitised_Annex_3_Part_5.pdf
Option 1,AGHRM 30,"$3,500.00","$3,500.00",https://www.gobusiness.gov.sg/images/psg/AG_Net_Desensitised_Annex_3_Part_1.pdf
Option 2,AGHRM 50,"$4,500.00","$4,500.00",https://www.gobusiness.gov.sg/images/psg/AG_Net_Desensitised_Annex_3_Part_2.pdf
Option 3,AGHRM 100,"$7,200.00","$7,200.00",https://www.gobusiness.gov.sg/images/psg/AG_Net_Desensitised_Annex_3_Part_3.pdf
Option 4,AGHRM 200,"$12,000.00","$12,000.00",https://www.gobusiness.gov.sg/images/psg/AG_Net_Desensitised_Annex_3_Part_4.pdf
Option 1,HRMS 50,"$5,000.00","$5,000.00",https://www.gobusiness.gov.sg/images/psg/PeopleCentral_Desensitised_Annex_3_Part_1.pdf
Option 2,HRMS 100,"$10,000.00","$10,000.00",https://www.gobusiness.gov.sg/images/psg/PeopleCentral_Desensitised_Annex_3_Part_2.pdf
Option 3,HRMS 150,"$15,000.00","$15,000.00",https://www.gobusiness.gov.sg/images/psg/PeopleCentral_Desensitised_Annex_3_Part_3.pdf
Option 4,HRMS 200,"$20,000.00","$20,000.00",https://www.gobusiness.gov.sg/images/psg/PeopleCentral_Desensitised_Annex_3_Part_4.pdf
Option 5,HRMS 75,"$7,500.00","$7,500.00",https://www.gobusiness.gov.sg/images/psg/PeopleCentral_Desensitised_Annex_3_Part_5.pdf
Option 1,Human Resources Management System Package (30),"$5,720.00","$5,720.00",https://www.gobusiness.gov.sg/images/psg/hrm_labs_hrms_Desensitised_Annex_3_Part_1.pdf
Option 2,Human Resources Management System Package (50),"$8,600.00","$8,600.00",https://www.gobusiness.gov.sg/images/psg/hrm_labs_hrms_Desensitised_Annex_3_Part_2.pdf
Option 3,Human Resources Management System Package (80),"$12,660.00","$12,660.00",https://www.gobusiness.gov.sg/images/psg/hrm_labs_hrms_Desensitised_Annex_3_Part_3.pdf
Option 4,Human Resources Management System (150),"$21,500.00","$21,500.00",https://www.gobusiness.gov.sg/images/psg/hrm_labs_hrms_Desensitised_Annex_3_Part_4.pdf
Option 5,Human Resources Management System (200),"$29,600.00","$29,600.00",https://www.gobusiness.gov.sg/images/psg/hrm_labs_hrms_Desensitised_Annex_3_Part_5.pdf
Option 1,Package 1 (20 Users),"$6,400.00","$6,400.00",https://www.gobusiness.gov.sg/images/psg/Timeaccess_TIMEACCESSHRMS_Desensitised_Part1.pdf
Option 2,Package 2 (45 Users),"$10,200.00","$10,200.00",https://www.gobusiness.gov.sg/images/psg/Timeaccess_TIMEACCESSHRMS_Desensitised_Part2.pdf
Option 3,Package 3 (75 Users),"$14,600.00","$14,600.00",https://www.gobusiness.gov.sg/images/psg/Timeaccess_TIMEACCESSHRMS_Desensitised_Part3.pdf
Option 4,Package 4 (120 Users),"$20,000.00","$20,000.00",https://www.gobusiness.gov.sg/images/psg/Timeaccess_TIMEACCESSHRMS_Desensitised_Part4.pdf
Option 5,Package 5 (200 Users),"$29,600.00","$29,600.00",https://www.gobusiness.gov.sg/images/psg/Timeaccess_TIMEACCESSHRMS_Desensitised_Part5.pdf
